date,tmean,tmin,tmax,humidite,Ra,ETo,VPD,soil_temp,soil_moisture,categorie,pump_status,irrigation_volume
2020-01-01,9.96,7.57,14.01,76.92,15.81052623,2.56174889,0.282655001,9.76,55.0,3,0,0.0
2020-01-02,10.59,7.76,15.65,86.79,15.86553304,2.909955837,0.168739753,10.02,55.0,1,0,0.0
2020-01-03,9.89,6.09,15.14,88.67,15.92493288,3.051073654,0.138105949,9.55,55.0,2,0,0.0
2020-01-04,12.18,8.72,14.67,81.78,15.98871001,2.689251213,0.258596111,12.04,55.0,2,0,0.0
2020-01-05,12.76,9.91,14.6,79.54,16.05684733,2.444150167,0.301666001,12.59,55.0,2,0,0.0
2020-01-06,11.27,8.62,15.56,71.21,16.12932627,2.840984276,0.384766983,10.74,55.0,2,0,0.0
2020-01-07,11.0,7.55,15.47,82.04,16.20612686,3.021079464,0.235763459,10.69,55.0,2,0,0.0
2020-01-08,12.15,10.64,14.48,88.66,16.28722764,2.198555541,0.160630752,12.15,56.0,3,0,0.0
2020-01-09,11.05,8.3,14.5,86.54,16.3726057,2.70512477,0.17727943,11.46,57.0,1,0,0.0
2020-01-10,10.25,7.39,15.8,86.41,16.46223657,3.079977457,0.169696471,10.58,56.0,2,0,0.0
2020-01-11,10.82,8.04,15.05,83.18,16.55609428,2.885455396,0.218170534,10.74,56.0,1,0,0.0
2020-01-12,11.36,9.16,14.23,82.8,16.6541513,2.515022305,0.23124702,11.12,56.0,2,0,0.0
2020-01-13,10.56,8.02,14.24,81.97,16.7563785,2.725896844,0.2298483,9.68,56.0,2,0,0.0
2020-01-14,10.26,7.5,15.19,80.24,16.86274517,3.017914625,0.246905474,9.62,56.0,1,0,0.0
2020-01-15,9.43,5.18,15.67,82.26,16.97321897,3.442923995,0.209658354,9.24,56.0,1,0,0.0
2020-01-16,9.6,5.89,14.86,77.71,17.08776589,3.22522417,0.266462113,8.82,56.0,1,0,0.0
